approved_symbol,hgnc_id,evidence_count,source_count_percentile,pLI,oe_lof,lof_z,mis_z,omim_summary,gencc_summary,clingen_summary,clinvar,clinical_groups_p,onset_groups_p,syndromic_groups_p,mgi_phenotype,interaction_score,stringdb_interaction_sum_score,stringdb_interaction_normalized_score,stringdb_interaction_string,expression_score,gtex_kidney_medulla,gtex_kidney_cortex,descartes_kidney_tpm,cur_id
FGFR2,3689,3,2.6539863470960445,NULL,NULL,NULL,NULL,"Bent bone dysplasia syndrome[OMIM:614592]-Autosomal dominant inheritance | LADD syndrome 1[OMIM:149730]-Autosomal dominant inheritance | Antley-Bixler syndrome without genital anomalies or disordered steroidogenesis[OMIM:207410]-Autosomal dominant inheritance | Jackson-Weiss syndrome[OMIM:123150]-Autosomal dominant inheritance | Gastric cancer, somatic[OMIM:613659]-NA | Craniofacial-skeletal-dermatologic dysplasia[OMIM:101600]-Autosomal dominant inheritance | Apert syndrome[OMIM:101200]-Autosomal dominant inheritance | Pfeiffer syndrome[OMIM:101600]-Autosomal dominant inheritance | ?Scaphocephaly, maxillary retrusion, and impaired intellectual development[OMIM:609579]-NA | Beare-Stevenson cutis gyrata syndrome[OMIM:123790]-Autosomal dominant inheritance | Crouzon syndrome[OMIM:123500]-Autosomal dominant inheritance | Saethre-Chotzen syndrome[OMIM:101400]-Autosomal dominant inheritance","Definitive, Definitive, Strong, Strong, Supportive (Apert syndrome[MONDO:0007041]-Autosomal dominant) | Strong, Strong (Saethre-Chotzen syndrome[MONDO:0007042]-Autosomal dominant) | Definitive, Definitive, Definitive, Strong, Strong (Pfeiffer syndrome[MONDO:0007043]-Autosomal dominant) | Definitive, Strong, Supportive (Jackson-Weiss syndrome[MONDO:0007400]-Autosomal dominant) | Definitive, Definitive, Definitive, Strong, Strong, Supportive (Crouzon syndrome[MONDO:0007405]-Autosomal dominant) | Definitive, Definitive, Strong, Supportive (Beare-Stevenson cutis gyrata syndrome[MONDO:0007412]-Autosomal dominant) | Supportive (LADD syndrome[MONDO:0007872]-Autosomal dominant) | Supportive (Antley-Bixler syndrome[MONDO:0008803]-Autosomal dominant) | Strong, Supportive (familial scaphocephaly syndrome, McGillivray type[MONDO:0012307]-Autosomal dominant) | Moderate, Supportive (bent bone dysplasia syndrome 1[MONDO:0013815]-Autosomal dominant) | Supportive (Pfeiffer syndrome type 1[MONDO:0019659]-Autosomal dominant) | Supportive (Pfeiffer syndrome type 2[MONDO:0019660]-Autosomal dominant) | Supportive (Pfeiffer syndrome type 3[MONDO:0019661]-Autosomal dominant) | Definitive, Strong (Antley-Bixler syndrome without genital anomalies or disordered steroidogenesis[MONDO:0020667]-Autosomal dominant) | Definitive (LADD syndrome 1[MONDO:0100302]-Autosomal dominant) | Definitive (LADD syndrome 1[MONDO:0100302]-Mitochondrial)",Definitive (Apert syndrome[MONDO:0007041]-AD) | Definitive (Pfeiffer syndrome[MONDO:0007043]-AD) | Definitive (Crouzon syndrome[MONDO:0007405]-AD) | Definitive (Beare-Stevenson cutis gyrata syndrome[MONDO:0007412]-AD),P:80; LP:63; VUS:203,OMIM:101200 (cakut: 0.073 | cancer: 0.02 | cyst_cilio: 0.013 | nephrocalcinosis: 0.007 | glomerulopathy: 0.002); OMIM:149730 (cancer: 0.05 | cakut: 0.044 | cyst_cilio: 0.008); OMIM:207410 (cancer: 0.02 | cakut: 0.008 | cyst_cilio: 0.008 | tubulopathy: 0.007),OMIM:101200 (antenatal_or_congenital: 0.821); OMIM:123790 (antenatal_or_congenital: 0.821); OMIM:614592 (antenatal_or_congenital: 0.821),OMIM:101200 (syndromic: 0.088 | growth: 0.009 | skeletal: 0.07 | neurologic: 0.075); OMIM:101400 (syndromic: 0.068 | growth: 0.25 | skeletal: 0.073 | neurologic: 0.042); OMIM:101600 (syndromic: 0.057 | skeletal: 0.032 | neurologic: 0.047); OMIM:123150 (syndromic: 0.014 | skeletal: 0.025); OMIM:123500 (syndromic: 0.068 | skeletal: 0.043 | neurologic: 0.088); OMIM:123790 (syndromic: 0.081 | skeletal: 0.022 | neurologic: 0.076); OMIM:149730 (syndromic: 0.026 | skeletal: 0.031); OMIM:207410 (syndromic: 0.06 | skeletal: 0.077 | neurologic: 0.047); OMIM:609579 (syndromic: 0.021 | skeletal: 0.006 | neurologic: 0.04); OMIM:614592 (syndromic: 0.021 | skeletal: 0.056),hm (true); ht (true),0.5,7413,0.8343815513626834,"9606.ENSP00000281043:268, 9606.ENSP00000264664:999, 9606.ENSP00000237837:827, 9606.ENSP00000339824:980, 9606.ENSP00000180166:953, 9606.ENSP00000369442:360, 9606.ENSP00000254958:313, 9606.ENSP00000392028:282, 9606.ENSP00000362680:308, 9606.ENSP00000262648:405, 9606.ENSP00000379204:345, 9606.ENSP00000393312:580, 9606.ENSP00000361467:163, 9606.ENSP00000265171:630",0.5,12.3669,7.27413,226.385566450949,cur_163
FGFR3,3690,2,1.4209065870720885,NULL,NULL,NULL,NULL,"Muenke syndrome[OMIM:602849]-Autosomal dominant inheritance | SADDAN[OMIM:616482]-Autosomal dominant inheritance | Hypochondroplasia[OMIM:146000]-Autosomal dominant inheritance | Thanatophoric dysplasia, type II[OMIM:187601]-Autosomal dominant inheritance | Nevus, epidermal, somatic[OMIM:162900]-NA | CATSHL syndrome[OMIM:610474]-Autosomal dominant inheritance | CATSHL syndrome[OMIM:610474]-Autosomal recessive inheritance | Thanatophoric dysplasia, type I[OMIM:187600]-Autosomal dominant inheritance | Spermatocytic seminoma, somatic[OMIM:273300]-NA | Bladder cancer, somatic[OMIM:109800]-NA | LADD syndrome 2[OMIM:620192]-Autosomal dominant inheritance | Achondroplasia[OMIM:100800]-Autosomal dominant inheritance | Cervical cancer, somatic[OMIM:603956]-NA | Colorectal cancer, somatic[OMIM:114500]-NA | Crouzon syndrome with acanthosis nigricans[OMIM:612247]-Autosomal dominant inheritance","Definitive, Definitive, Definitive, Strong, Supportive (Achondroplasia[MONDO:0007037]-Autosomal dominant) | Definitive, Definitive, Strong, Supportive (hypochondroplasia[MONDO:0007793]-Autosomal dominant) | Supportive (LADD syndrome[MONDO:0007872]-Autosomal dominant) | Definitive, Definitive, Strong, Strong, Supportive (thanatophoric dysplasia type 1[MONDO:0008546]-Autosomal dominant) | Definitive, Definitive, Strong, Supportive (thanatophoric dysplasia type 2[MONDO:0008547]-Autosomal dominant) | Definitive, Definitive, Definitive, Strong, Strong, Supportive (Muenke syndrome[MONDO:0011274]-Autosomal dominant) | Definitive, Supportive (camptodactyly-tall stature-scoliosis-hearing loss syndrome[MONDO:0012504]-Autosomal dominant) | Moderate (camptodactyly-tall stature-scoliosis-hearing loss syndrome[MONDO:0012504]-Autosomal recessive) | Moderate (camptodactyly-tall stature-scoliosis-hearing loss syndrome[MONDO:0012504]-Semidominant) | Definitive, Definitive, Definitive, Strong, Strong, Supportive (Crouzon syndrome-acanthosis nigricans syndrome[MONDO:0012833]-Autosomal dominant) | Moderate, Supportive (severe achondroplasia-developmental delay-acanthosis nigricans syndrome[MONDO:0014658]-Autosomal dominant) | Supportive (isolated plagiocephaly[MONDO:0018113]-Autosomal dominant) | Supportive (isolated brachycephaly[MONDO:0018114]-Autosomal dominant) | Definitive (LADD syndrome 1[MONDO:0100302]-Autosomal dominant)",Definitive (Achondroplasia[MONDO:0007037]-AD) | Definitive (hypochondroplasia[MONDO:0007793]-AD) | Definitive (thanatophoric dysplasia type 1[MONDO:0008546]-AD) | Definitive (thanatophoric dysplasia type 2[MONDO:0008547]-AD) | Definitive (Muenke syndrome[MONDO:0011274]-AD) | Moderate (camptodactyly-tall stature-scoliosis-hearing loss syndrome[MONDO:0012504]-SD) | Definitive (Crouzon syndrome-acanthosis nigricans syndrome[MONDO:0012833]-AD) | Moderate (severe achondroplasia-developmental delay-acanthosis nigricans syndrome[MONDO:0014658]-AD),P:42; LP:25; VUS:281,OMIM:114500 (cancer: 0.13 | cyst_cilio: 0.013 | tubulopathy: 0.007 | cakut: 0.004 | glomerulopathy: 0.002),OMIM:100800 (antenatal_or_congenital: 0.821); OMIM:146000 (neonatal_or_pediatric: 0.2); OMIM:187600 (antenatal_or_congenital: 0.821); OMIM:187601 (antenatal_or_congenital: 0.035); OMIM:616482 (antenatal_or_congenital: 0.821),OMIM:100800 (syndromic: 0.047 | growth: 0.02 | skeletal: 0.088 | neurologic: 0.024); OMIM:146000 (syndromic: 0.051 | growth: 0.013 | skeletal: 0.075 | neurologic: 0.04); OMIM:187600 (syndromic: 0.06 | growth: 0.014 | skeletal: 0.079 | neurologic: 0.061); OMIM:187601 (syndromic: 0.025 | growth: 0.001 | skeletal: 0.054 | neurologic: 0.019); OMIM:602849 (syndromic: 0.106 | growth: 0.001 | skeletal: 0.074 | neurologic: 0.138); OMIM:610474 (syndromic: 0.083 | growth: 0.011 | skeletal: 0.109 | neurologic: 0.12); OMIM:612247 (syndromic: 0.011 | skeletal: 0.013 | neurologic: 0.006); OMIM:616482 (syndromic: 0.109 | growth: 0.038 | skeletal: 0.07 | neurologic: 0.162); OMIM:620192 (syndromic: 0.005 | skeletal: 0),hm (false); ht (false),0.5,7527,0.8385744234800838,"9606.ENSP00000392028:276, 9606.ENSP00000393312:742, 9606.ENSP00000265171:544, 9606.ENSP00000484824:705, 9606.ENSP00000410294:980, 9606.ENSP00000258173:290, 9606.ENSP00000264664:754, 9606.ENSP00000237837:912, 9606.ENSP00000369442:879, 9606.ENSP00000180166:850, 9606.ENSP00000255380:303, 9606.ENSP00000262648:292",0.5,34.5681,23.2259,22.5685813583195,cur_164
FH,3700,3,2.134320512576348,0.08824,0.27569,3.1312,1.2708,Leiomyomatosis and renal cell cancer[OMIM:150800]-Autosomal dominant inheritance | Fumarase deficiency[OMIM:606812]-Autosomal recessive inheritance,"Moderate (leiomyosarcoma[MONDO:0005058]-Autosomal dominant) | Definitive, Definitive, Definitive, Strong, Supportive (hereditary leiomyomatosis and renal cell cancer[MONDO:0007888]-Autosomal dominant) | Definitive, Strong, Supportive (fumaric aciduria[MONDO:0011730]-Autosomal recessive) | Supportive (hereditary pheochromocytoma-paraganglioma[MONDO:0017366]-Autosomal dominant) | Strong (pheochromocytoma-paraganglioma[MONDO:0035540]-Autosomal dominant)",Definitive (hereditary leiomyomatosis and renal cell cancer[MONDO:0007888]-AD),P:270; LP:147; VUS:673,OMIM:150800 (cancer: 0.13 | cyst_cilio: 0.013 | tubulopathy: 0.007 | cakut: 0.004 | glomerulopathy: 0.002); OMIM:606812 (cancer: 0.01),OMIM:606812 (antenatal_or_congenital: 0.03),OMIM:606812 (syndromic: 0.091 | growth: 0.171 | skeletal: 0.067 | neurologic: 0.121),hm (true); ht (false),0.5,1029,0.24737945492662475,"9606.ENSP00000264170:225, 9606.ENSP00000311505:292, 9606.ENSP00000445175:326, 9606.ENSP00000362413:186",0.5,64.1845,48.2765,31.3957499251545,cur_165
FLCN,27310,4,3.219656256954657,0.78892,0.18435000000000001,3.9363,1.1301,"Birt-Hogg-Dube syndrome[OMIM:135150]-Autosomal dominant inheritance | Colorectal cancer, somatic[OMIM:114500]-NA | Pneumothorax, primary spontaneous[OMIM:173600]-Autosomal dominant inheritance | Renal carcinoma, chromophobe, somatic[OMIM:144700]-NA","Strong (renal carcinoma[MONDO:0005206]-Autosomal dominant) | Limited (colorectal cancer[MONDO:0005575]-Autosomal dominant) | Definitive, Definitive, Definitive, Strong, Strong, Supportive (Birt-Hogg-Dube syndrome[MONDO:0007607]-Autosomal dominant) | Strong, Moderate, Supportive (familial spontaneous pneumothorax[MONDO:0008259]-Autosomal dominant)",Definitive (Birt-Hogg-Dube syndrome[MONDO:0007607]-AD),P:293; LP:66; VUS:820,OMIM:114500 (cancer: 0.13 | cyst_cilio: 0.013 | tubulopathy: 0.007 | cakut: 0.004 | glomerulopathy: 0.002); OMIM:135150 (cancer: 0.17 | cyst_cilio: 0.105 | cakut: 0.048 | glomerulopathy: 0.009 | tubulopathy: 0.007); OMIM:144700 (cancer: 0.13 | cyst_cilio: 0.013 | tubulopathy: 0.007 | cakut: 0.004 | glomerulopathy: 0.002),NULL,NULL,hm (false); ht (true),0.5,999,0.2389937106918239,"9606.ENSP00000231509:285, 9606.ENSP00000324856:268, 9606.ENSP00000358423:292, 9606.ENSP00000337088:154",0.5,14.1089,14.2039,16.3802524119771,cur_166
FN1,3778,5,3.7055148013926194,0.001404,0.2539,8.0006,1.646,"Spondylometaphyseal dysplasia, corner fracture type[OMIM:184255]-Autosomal dominant inheritance | Glomerulopathy with fibronectin deposits 2[OMIM:601894]-Autosomal dominant inheritance","Supportive (fibronectin glomerulopathy[MONDO:0007671]-Autosomal dominant) | Strong, Strong, Supportive (spondylometaphyseal dysplasia, 'corner fracture' type[MONDO:0008479]-Autosomal dominant) | Moderate, Moderate (glomerulopathy with fibronectin deposits 2[MONDO:0011165]-Autosomal dominant)",Moderate (glomerulopathy with fibronectin deposits 2[MONDO:0011165]-AD),P:12; LP:12; VUS:383,OMIM:601894 (glomerulopathy: 0.35 | cyst_cilio: 0.194 | tubulopathy: 0.175 | nephrocalcinosis: 0.132 | complement: 0.107 | cakut: 0.085 | cancer: 0.05),OMIM:601894 (adult: 0.372 | neonatal_or_pediatric: 0.2),OMIM:184255 (syndromic: 0.03 | growth: 0.25 | skeletal: 0.056 | neurologic: 0.003),hm (false); ht (false),1,15202,0.9832285115303984,"9606.ENSP00000264664:410, 9606.ENSP00000297261:372, 9606.ENSP00000180166:418, 9606.ENSP00000216911:901, 9606.ENSP00000379204:416, 9606.ENSP00000307235:400, 9606.ENSP00000215832:507, 9606.ENSP00000252934:229, 9606.ENSP00000363773:292, 9606.ENSP00000262304:447, 9606.ENSP00000236850:723, 9606.ENSP00000264896:327, 9606.ENSP00000262648:292, 9606.ENSP00000317272:351, 9606.ENSP00000256474:666, 9606.ENSP00000308938:986, 9606.ENSP00000237014:200, 9606.ENSP00000367316:469, 9606.ENSP00000252486:152, 9606.ENSP00000252999:380, 9606.ENSP00000322323:630, 9606.ENSP00000256078:499, 9606.ENSP00000364979:189, 9606.ENSP00000362924:661, 9606.ENSP00000252699:346, 9606.ENSP00000265171:725, 9606.ENSP00000355627:292, 9606.ENSP00000385675:565, 9606.ENSP00000362680:677, 9606.ENSP00000313967:315, 9606.ENSP00000260010:814, 9606.ENSP00000358866:551",0.5,59.3276,26.5025,219.050295366255,cur_167
FOXC1,3800,3,2.1734427775085994,NULL,NULL,NULL,NULL,"Axenfeld-Rieger syndrome, type 3[OMIM:602482]-Autosomal dominant inheritance | Anterior segment dysgenesis 3, multiple subtypes[OMIM:601631]-Autosomal dominant inheritance","Supportive (isolated aniridia[MONDO:0007119]-Autosomal dominant) | Definitive, Strong (Axenfeld-Rieger syndrome type 3[MONDO:0011233]-Autosomal dominant) | Definitive, Supportive (Peters anomaly[MONDO:0011414]-Autosomal dominant) | Strong (aniridia[MONDO:0019172]-Autosomal dominant) | Supportive (Axenfeld-Rieger syndrome[MONDO:0019187]-Autosomal dominant) | Supportive (Rieger anomaly[MONDO:0019628]-Autosomal dominant) | Supportive (Axenfeld anomaly[MONDO:0020368]-Autosomal dominant) | Definitive, Definitive (anterior segment dysgenesis 3[MONDO:0024456]-Autosomal dominant)",Definitive (anterior segment dysgenesis 3[MONDO:0024456]-AD),P:86; LP:31; VUS:197,NULL,OMIM:601631 (antenatal_or_congenital: 0.821 | neonatal_or_pediatric: 0.603 | adult: 0.372),OMIM:601631 (syndromic: 0.003 | skeletal: 0.002 | neurologic: 0.004); OMIM:602482 (syndromic: 0.011 | skeletal: 0.01 | neurologic: 0.004),hm (true); ht (true),0,NULL,NULL,NULL,0.5,24.8808,13.4059,139.451821506534,cur_168
FOXC2,3801,2,1.6290454760183073,NULL,NULL,NULL,NULL,Lymphedema-distichiasis syndrome[OMIM:153400]-Autosomal dominant inheritance | Lymphedema-distichiasis syndrome with renal disease and diabetes mellitus[OMIM:153400]-Autosomal dominant inheritance,"Definitive, Strong, Strong, Limited, Supportive (lymphedema-distichiasis syndrome[MONDO:0007922]-Autosomal dominant)",NULL,P:32; LP:9; VUS:61,NULL,NULL,OMIM:153400 (syndromic: 0.022 | skeletal: 0.037 | neurologic: 0.004),hm (true); ht (false),0,NULL,NULL,NULL,0.5,6.06441,4.54971,21.3873674914135,cur_169
FOXI1,3815,4,2.5406205943608953,0.77268,0.10812,2.5135,0.72824,Enlarged vestibular aqueduct[OMIM:600791]-Autosomal recessive inheritance,"Limited (hearing loss disorder[MONDO:0005365]-Autosomal recessive) | Supportive (Pendred syndrome[MONDO:0010134]-Autosomal recessive) | Strong, Limited (autosomal recessive nonsyndromic hearing loss 4[MONDO:0010933]-Autosomal recessive) | Supportive (autosomal recessive distal renal tubular acidosis[MONDO:0018440]-Autosomal recessive) | Disputed Evidence (enlarged vestibular aqueduct syndrome[MONDO:0023069]-Autosomal recessive)",Limited (hearing loss disorder[MONDO:0005365]-AR) | Disputed (enlarged vestibular aqueduct syndrome[MONDO:0023069]-AR),P:1; LP:1; VUS:75,NULL,OMIM:600791 (antenatal_or_congenital: 0.821),NULL,hm (true); ht (false),0,615,0.1530398322851153,"9606.ENSP00000484803:165, 9606.ENSP00000360231:292, 9606.ENSP00000262367:158",0,24.0399,32.327,0.242875064144568,cur_170
FOXP1,3823,3,1.7183122758752345,NULL,NULL,NULL,NULL,Intellectual developmental disorder with language impairment with or without autistic features[OMIM:613670]-Autosomal dominant inheritance,"Definitive, Definitive, Definitive, Moderate (intellectual disability-severe speech delay-mild dysmorphism syndrome[MONDO:0013352]-Autosomal dominant)",Definitive (intellectual disability-severe speech delay-mild dysmorphism syndrome[MONDO:0013352]-AD),P:91; LP:51; VUS:218,NULL,OMIM:613670 (neonatal_or_pediatric: 0.402),OMIM:613670 (syndromic: 0.115 | growth: 0.053 | skeletal: 0.035 | neurologic: 0.184),hm (false); ht (false),0.5,4782,0.7295597484276729,"9606.ENSP00000217086:800, 9606.ENSP00000360231:186, 9606.ENSP00000368632:265, 9606.ENSP00000359319:165, 9606.ENSP00000365380:667, 9606.ENSP00000216911:292, 9606.ENSP00000312987:165, 9606.ENSP00000304286:165, 9606.ENSP00000354006:198, 9606.ENSP00000358262:292, 9606.ENSP00000269305:292, 9606.ENSP00000480291:165, 9606.ENSP00000405890:800, 9606.ENSP00000262426:165, 9606.ENSP00000251020:165",0.5,4.91512,2.90979,686.953997016102,cur_171
FRAS1,19185,5,3.921644492950671,NULL,NULL,NULL,NULL,Fraser syndrome 1[OMIM:219000]-Autosomal recessive inheritance,"Definitive, Supportive (Fraser syndrome[MONDO:0009046]-Autosomal recessive) | Supportive (renal agenesis, unilateral[MONDO:0019636]-Autosomal dominant) | Definitive (Fraser syndrome 1[MONDO:0054737]-Autosomal recessive)",Definitive (Fraser syndrome[MONDO:0009046]-AR),P:79; LP:43; VUS:642,OMIM:219000 (cakut: 0.093 | cyst_cilio: 0.037 | cancer: 0.03 | tubulopathy: 0.007 | glomerulopathy: 0.004),NULL,OMIM:219000 (syndromic: 0.082 | skeletal: 0.053 | neurologic: 0.118),hm (true); ht (true),0,NULL,NULL,NULL,0.5,5.70031,4.64001,366.455279367166,cur_172
FREM1,23399,5,3.76690510566788,NULL,NULL,NULL,NULL,Manitoba oculotrichoanal syndrome[OMIM:248450]-Autosomal recessive inheritance | Bifid nose with or without anorectal and renal anomalies[OMIM:608980]-Autosomal recessive inheritance | Trigonocephaly 2[OMIM:614485]-Autosomal dominant inheritance,"Definitive, Moderate, Supportive (oculotrichoanal syndrome[MONDO:0009560]-Autosomal recessive) | Supportive (BNAR syndrome[MONDO:0012165]-Autosomal recessive) | Limited, Disputed Evidence (trigonocephaly 2[MONDO:0013774]-Autosomal dominant) | Supportive (isolated trigonocephaly[MONDO:0018065]-Autosomal dominant) | Supportive (renal agenesis, unilateral[MONDO:0019636]-Autosomal dominant)",NULL,P:13; LP:14; VUS:385,OMIM:608980 (cakut: 0.093 | cancer: 0.07 | cyst_cilio: 0.013 | tubulopathy: 0.007),OMIM:248450 (antenatal_or_congenital: 0.821),OMIM:248450 (syndromic: 0.027 | neurologic: 0.051); OMIM:608980 (syndromic: 0.012 | skeletal: 0.009 | neurologic: 0.006); OMIM:614485 (syndromic: 0.055 | skeletal: 0.052 | neurologic: 0.08),hm (true); ht (false),0.5,1668,0.36477987421383645,"9606.ENSP00000390436:345, 9606.ENSP00000381098:332, 9606.ENSP00000280481:991",0.5,7.22138,4.45441,599.4885809493,cur_173
FREM2,25396,5,3.804178975909866,0,0.36258,6.0469,-0.85877,"Fraser syndrome 2[OMIM:617666]-Autosomal recessive inheritance | Cryptophthalmos, unilateral or bilateral, isolated[OMIM:123570]-Autosomal recessive inheritance","Supportive (Fraser syndrome[MONDO:0009046]-Autosomal recessive) | Supportive (renal agenesis, unilateral[MONDO:0019636]-Autosomal dominant) | Definitive (Fraser syndrome 1[MONDO:0054737]-Autosomal recessive) | Moderate (Fraser syndrome 2[MONDO:0054738]-Autosomal recessive)",NULL,P:25; LP:18; VUS:542,OMIM:617666 (cakut: 0.21 | cancer: 0.1 | cyst_cilio: 0.052 | tubulopathy: 0.007 | glomerulopathy: 0.004),OMIM:617666 (antenatal_or_congenital: 0.821),OMIM:123570 (syndromic: 0); OMIM:617666 (syndromic: 0.011 | skeletal: 0.016),hm (true); ht (true),0.5,2296,0.4591194968553459,"9606.ENSP00000470972:190, 9606.ENSP00000414321:188, 9606.ENSP00000412940:991, 9606.ENSP00000381098:416, 9606.ENSP00000360997:163, 9606.ENSP00000481646:158, 9606.ENSP00000348849:190",0.5,3.4924800000000005,3.22192,81.429691147944,cur_174
FXYD2,4026,5,3.301813744973351,0.11431,0.38391,1.303,-0.15622,"Hypomagnesemia 2, renal[OMIM:154020]-Autosomal dominant inheritance","Moderate, Supportive (renal hypomagnesemia 2[MONDO:0007937]-Autosomal dominant)",Moderate (renal hypomagnesemia 2[MONDO:0007937]-AD),P:1; LP:0; VUS:16,OMIM:154020 (nephrocalcinosis: 0.111 | tubulopathy: 0.105 | glomerulopathy: 0.082 | complement: 0.071 | cyst_cilio: 0.068 | cakut: 0.04 | cancer: 0.02),NULL,OMIM:154020 (syndromic: 0.02 | skeletal: 0.001 | neurologic: 0.041),hm (false); ht (false),0.5,954,0.22012578616352202,9606.ENSP00000445306:954,0.5,574.806,299.041,34.5053334492555,cur_175
GALNT3,4125,5,2.629130575611276,0,0.58178,2.1557,0.3862,"Tumoral calcinosis, hyperphosphatemic, familial, 1[OMIM:211900]-Autosomal recessive inheritance","Strong, Strong, Strong, Supportive (tumoral calcinosis, hyperphosphatemic, familial, 1[MONDO:0008897]-Autosomal recessive) | Definitive (tumoral calcinosis, hyperphosphatemic, familial, 1[MONDO:0100252]-Autosomal recessive)",NULL,P:24; LP:6; VUS:122,OMIM:211900 (nephrocalcinosis: 0.174 | tubulopathy: 0.126 | glomerulopathy: 0.018 | cancer: 0.01 | cakut: 0.008 | cyst_cilio: 0.003),OMIM:211900 (neonatal_or_pediatric: 0.2),OMIM:211900 (syndromic: 0.002 | skeletal: 0.005),hm (true); ht (false),0,165,0.018867924528301886,9606.ENSP00000231509:165,0,8.10871,3.30174,9.00936408694696,cur_176
GANAB,4138,5,3.9342347273550784,NULL,NULL,NULL,NULL,Polycystic kidney disease 3[OMIM:600666]-Autosomal dominant inheritance,"Supportive (autosomal dominant polycystic kidney disease[MONDO:0004691]-Autosomal dominant) | Definitive, Strong (polycystic kidney disease 3 with or without polycystic liver disease[MONDO:0010916]-Autosomal dominant)",Definitive (polycystic kidney disease 3 with or without polycystic liver disease[MONDO:0010916]-AD),P:14; LP:14; VUS:111,OMIM:600666 (cyst_cilio: 0.063 | cakut: 0.012 | cancer: 0.01),OMIM:600666 (adult: 0.683 | neonatal_or_pediatric: 0.2),OMIM:600666 (syndromic: 0 | neurologic: 0.001),hm (false); ht (false),0.5,2525,0.49266247379454925,"9606.ENSP00000357048:193, 9606.ENSP00000414398:241, 9606.ENSP00000356319:292, 9606.ENSP00000260746:345, 9606.ENSP00000269305:163, 9606.ENSP00000466134:999, 9606.ENSP00000322323:292",0.5,105.96,75.5913,83.1517055452425,cur_177
GATA3,4172,5,4.210060798168941,0.89887,0.12337,3.2708,1.913,"Hypoparathyroidism, sensorineural deafness, and renal dysplasia[OMIM:146255]-Autosomal dominant inheritance","Definitive, Definitive, Strong, Strong, Supportive (hypoparathyroidism-deafness-renal disease syndrome[MONDO:0007797]-Autosomal dominant)",Definitive (hypoparathyroidism-deafness-renal disease syndrome[MONDO:0007797]-AD),P:53; LP:16; VUS:106,OMIM:146255 (nephrocalcinosis: 0.285 | tubulopathy: 0.238 | glomerulopathy: 0.208 | complement: 0.179 | cakut: 0.081 | cyst_cilio: 0.045 | cancer: 0.04),OMIM:146255 (antenatal_or_congenital: 0.821),OMIM:146255 (syndromic: 0.001 | skeletal: 0.002 | neurologic: 0.001),hm (true); ht (false),0.5,4189,0.6834381551362684,"9606.ENSP00000227507:410, 9606.ENSP00000252934:195, 9606.ENSP00000269305:252, 9606.ENSP00000405890:332, 9606.ENSP00000396688:363, 9606.ENSP00000365380:292, 9606.ENSP00000262367:457, 9606.ENSP00000360231:292, 9606.ENSP00000303511:364, 9606.ENSP00000484803:265, 9606.ENSP00000281043:161, 9606.ENSP00000362410:400, 9606.ENSP00000367203:406",0.5,29.73,21.0903,75.2898368723851,cur_178
GATM,4175,5,3.374478230519957,0.051418,0.28429,3.291,2.2888,Cerebral creatine deficiency syndrome 3[OMIM:612718]-Autosomal recessive inheritance | Fanconi renotubular syndrome 1[OMIM:134600]-Autosomal dominant inheritance,"Supportive (primary Fanconi syndrome[MONDO:0007600]-Autosomal dominant) | Definitive, Definitive, Moderate, Supportive (AGAT deficiency[MONDO:0012996]-Autosomal recessive) | Moderate (Fanconi renotubular syndrome 1[MONDO:0024525]-Autosomal dominant)",Definitive (AGAT deficiency[MONDO:0012996]-AR),P:9; LP:10; VUS:202,OMIM:134600 (nephrocalcinosis: 0.125 | tubulopathy: 0.112 | glomerulopathy: 0.082 | complement: 0.071 | cyst_cilio: 0.068 | cakut: 0.04 | cancer: 0.02),OMIM:134600 (neonatal_or_pediatric: 0.262); OMIM:612718 (neonatal_or_pediatric: 0.402),OMIM:134600 (syndromic: 0.014 | growth: 0.25 | skeletal: 0.002); OMIM:612718 (syndromic: 0.063 | growth: 0.171 | neurologic: 0.113),hm (true); ht (false),0,NULL,NULL,NULL,0.5,61.3935,135.608,10.5686220969981,cur_179
GCM2,4198,4,1.837639401062001,9.11e-4,0.44095,2.2066,0.67613,"Hypoparathyroidism, familial isolated 2[OMIM:618883]-Autosomal dominant inheritance | Hypoparathyroidism, familial isolated 2[OMIM:618883]-Autosomal recessive inheritance | Hyperparathyroidism 4[OMIM:617343]-Autosomal dominant inheritance",Supportive (familial isolated hypoparathyroidism due to agenesis of parathyroid gland[MONDO:0010618]-Autosomal recessive) | Supportive (familial isolated hyperparathyroidism[MONDO:0015027]-Autosomal dominant),NULL,P:7; LP:8; VUS:71,OMIM:617343 (tubulopathy: 0.133 | nephrocalcinosis: 0.125 | cakut: 0.012 | glomerulopathy: 0.011 | cancer: 0.01 | cyst_cilio: 0.005),OMIM:617343 (adult: 0.218),OMIM:617343 (syndromic: 0.003 | skeletal: 0.009); OMIM:618883 (syndromic: 0 | neurologic: 0),hm (true); ht (false),0,365,0.09433962264150944,9606.ENSP00000362410:365,0,0.009102299999999999,0,0.241463814937066,cur_180
