approved_symbol,panel_diagnostic,panel_diagnostic_count,hgnc_id
CLDN10,preventiongenetics_comprehensive_inherited_kidney_diseases_panel,1,HGNC:2033
CLDN16,centogene_nephrology; cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_progressive_renal_disease_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,10,HGNC:2037
CLDN19,centogene_nephrology; cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_progressive_renal_disease_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,10,HGNC:2040
CLPB,blueprintgenetics_nephrology,1,HGNC:30664
CLU,cegat_kidney_diseases_genes,1,HGNC:2095
CNNM2,cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_expanded_renal_disease_panel; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,6,HGNC:103
CNNM4,blueprintgenetics_nephrology,1,HGNC:105
COA8,natera_renasight_comprehensive_kidney_gene_panel,1,HGNC:20492
COL10A1,centogene_nephrology,1,HGNC:2185
COL4A1,centogene_nephrology; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_progressive_renal_disease_panel; invitae_expanded_renal_disease_panel; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,7,HGNC:2202
COL4A3,centogene_nephrology; cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_progressive_renal_disease_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,14,HGNC:2204
COL4A4,centogene_nephrology; cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_progressive_renal_disease_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,14,HGNC:2206
COL4A5,centogene_nephrology; cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_progressive_renal_disease_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,14,HGNC:2207
COL4A6,preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_progressive_renal_disease_panel; invitae_expanded_renal_disease_panel; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,5,HGNC:2208
COL9A3,centogene_nephrology,1,HGNC:2219
COMP,centogene_nephrology,1,HGNC:2227
COQ2,centogene_nephrology; cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_progressive_renal_disease_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,11,HGNC:25223
COQ6,centogene_nephrology; cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_progressive_renal_disease_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,12,HGNC:20233
COQ8B,centogene_nephrology; cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_progressive_renal_disease_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,11,HGNC:19041
COQ9,centogene_nephrology; mgz_nephrologie,3,HGNC:25302
COX10,invitae_expanded_renal_disease_panel; natera_renasight_comprehensive_kidney_gene_panel,2,HGNC:2260
COX14,invitae_expanded_renal_disease_panel,1,HGNC:28216
COX20,natera_renasight_comprehensive_kidney_gene_panel,1,HGNC:26970
COX6B1,natera_renasight_comprehensive_kidney_gene_panel,1,HGNC:2280
CPE,blueprintgenetics_nephrology,1,HGNC:2303
CPLANE1,centogene_nephrology; cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_progressive_renal_disease_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,9,HGNC:25801
CPT2,invitae_expanded_renal_disease_panel; natera_renasight_comprehensive_kidney_gene_panel,2,HGNC:2330
CRB1,centogene_nephrology,1,HGNC:2343
CRB2,centogene_nephrology; cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_progressive_renal_disease_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,12,HGNC:18688
CREBBP,invitae_expanded_renal_disease_panel; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics,3,HGNC:2348
CRELD1,centogene_nephrology,1,HGNC:14630
CRKL,invitae_expanded_renal_disease_panel,1,HGNC:2363
CRTAP,centogene_nephrology,1,HGNC:2379
CRX,centogene_nephrology,1,HGNC:2383
CSPP1,centogene_nephrology; cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,7,HGNC:26193
CTNS,centogene_nephrology; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_progressive_renal_disease_panel; invitae_expanded_renal_disease_panel; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics,6,HGNC:2518
CTU2,centogene_nephrology; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; mgz_nephrologie,4,HGNC:28005
CUBN,centogene_nephrology; cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_progressive_renal_disease_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,11,HGNC:2548
CUL3,centogene_nephrology; cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,9,HGNC:2553
CUL4B,blueprintgenetics_nephrology,1,HGNC:2555
CWC27,centogene_nephrology,1,HGNC:10664
CYP11A1,natera_renasight_comprehensive_kidney_gene_panel,1,HGNC:2590
CYP11B1,preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics,7,HGNC:2591
CYP11B2,preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics,7,HGNC:2592
CYP17A1,invitae_expanded_renal_disease_panel; mgz_nephrologie; natera_renasight_comprehensive_kidney_gene_panel,4,HGNC:2593
CYP24A1,preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_progressive_renal_disease_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,8,HGNC:2602
CYP27B1,cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_expanded_renal_disease_panel; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,6,HGNC:2606
CYP2R1,cegat_kidney_diseases_genes; invitae_expanded_renal_disease_panel; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,5,HGNC:20580
CYP7B1,centogene_nephrology,1,HGNC:2652
DAAM2,preventiongenetics_comprehensive_inherited_kidney_diseases_panel; mgz_nephrologie,3,HGNC:18143
DACH1,cegat_kidney_diseases_genes; mgz_nephrologie,3,HGNC:2663
DCDC2,centogene_nephrology; cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_progressive_renal_disease_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,10,HGNC:18141
DCHS1,invitae_expanded_renal_disease_panel,1,HGNC:13681
DDR2,centogene_nephrology,1,HGNC:2731
DDX59,centogene_nephrology; mgz_nephrologie; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,4,HGNC:25360
DGKE,centogene_nephrology; cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_progressive_renal_disease_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,11,HGNC:2852
DGUOK,centogene_nephrology,1,HGNC:2858
DHCR7,centogene_nephrology; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_progressive_renal_disease_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,10,HGNC:2860
DHTKD1,invitae_expanded_renal_disease_panel,1,HGNC:23537
DICER1,centogene_nephrology; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_progressive_renal_disease_panel; invitae_expanded_renal_disease_panel,4,HGNC:17098
DLC1,cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_progressive_renal_disease_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; natera_renasight_comprehensive_kidney_gene_panel; blueprintgenetics_nephrology,8,HGNC:2897
DLG5,preventiongenetics_comprehensive_inherited_kidney_diseases_panel; mgz_nephrologie,2,HGNC:2904
DLL3,centogene_nephrology,1,HGNC:2909
DMP1,centogene_nephrology; cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_expanded_renal_disease_panel; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,7,HGNC:2932
DNAAF1,centogene_nephrology; mgz_nephrologie; blueprintgenetics_nephrology,3,HGNC:30539
DNAAF11,centogene_nephrology; blueprintgenetics_nephrology,2,HGNC:16725
DNAAF2,centogene_nephrology; mgz_nephrologie; blueprintgenetics_nephrology,3,HGNC:20188
DNAAF3,centogene_nephrology; mgz_nephrologie; blueprintgenetics_nephrology,3,HGNC:30492
DNAAF4,centogene_nephrology; mgz_nephrologie; blueprintgenetics_nephrology,3,HGNC:21493
DNAAF5,centogene_nephrology; mgz_nephrologie; blueprintgenetics_nephrology,3,HGNC:26013
DNAAF6,blueprintgenetics_nephrology,1,HGNC:28570
DNAH1,blueprintgenetics_nephrology,1,HGNC:2940
DNAH11,centogene_nephrology; mgz_nephrologie; blueprintgenetics_nephrology,3,HGNC:2942
DNAH5,centogene_nephrology; mgz_nephrologie; blueprintgenetics_nephrology,3,HGNC:2950
DNAH8,blueprintgenetics_nephrology,1,HGNC:2952
DNAH9,mgz_nephrologie; blueprintgenetics_nephrology,2,HGNC:2953
DNAI1,centogene_nephrology; mgz_nephrologie; blueprintgenetics_nephrology,3,HGNC:2954
DNAI2,centogene_nephrology; mgz_nephrologie; blueprintgenetics_nephrology,3,HGNC:18744
DNAJB11,centogene_nephrology; cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_progressive_renal_disease_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,9,HGNC:14889
DNAJB13,blueprintgenetics_nephrology,1,HGNC:30718
DNAL1,centogene_nephrology; mgz_nephrologie; blueprintgenetics_nephrology,3,HGNC:23247
DNASE1L3,invitae_expanded_renal_disease_panel; natera_renasight_comprehensive_kidney_gene_panel,2,HGNC:2959
DRC1,centogene_nephrology; mgz_nephrologie; blueprintgenetics_nephrology,3,HGNC:24245
DSTYK,centogene_nephrology; cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; blueprintgenetics_nephrology,11,HGNC:29043
DUSP6,centogene_nephrology,1,HGNC:3072
DYM,centogene_nephrology,1,HGNC:21317
DYNC2H1,centogene_nephrology; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; mgz_nephrologie; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,5,HGNC:2962
DYNC2I1,centogene_nephrology; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; mgz_nephrologie; blueprintgenetics_nephrology,4,HGNC:21862
DYNC2I2,centogene_nephrology; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; mgz_nephrologie; blueprintgenetics_nephrology,4,HGNC:28296
DYNC2LI1,centogene_nephrology; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; mgz_nephrologie; blueprintgenetics_nephrology,4,HGNC:24595
DYNLT2B,mgz_nephrologie; blueprintgenetics_nephrology,2,HGNC:28482
DYRK1B,blueprintgenetics_nephrology,1,HGNC:3092
DZIP1L,centogene_nephrology; cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_progressive_renal_disease_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,10,HGNC:26551
EBP,centogene_nephrology; invitae_expanded_renal_disease_panel; natera_renasight_comprehensive_kidney_gene_panel,3,HGNC:3133
EGF,cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_progressive_renal_disease_panel; invitae_expanded_renal_disease_panel; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,6,HGNC:3229
EHHADH,preventiongenetics_comprehensive_inherited_kidney_diseases_panel,1,HGNC:3247
EIF2AK3,centogene_nephrology; invitae_expanded_renal_disease_panel; natera_renasight_comprehensive_kidney_gene_panel,3,HGNC:3255
ELP1,invitae_expanded_renal_disease_panel; natera_renasight_comprehensive_kidney_gene_panel,2,HGNC:5959
EMP2,centogene_nephrology; cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_progressive_renal_disease_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,10,HGNC:3334
ENPP1,centogene_nephrology; cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_expanded_renal_disease_panel; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,7,HGNC:3356
ESCO2,centogene_nephrology; natera_renasight_comprehensive_kidney_gene_panel,2,HGNC:27230
ETFA,cegat_kidney_diseases_genes,1,HGNC:3481
ETV4,mgz_nephrologie,1,HGNC:3493
ETV5,mgz_nephrologie,1,HGNC:3494
EVC,centogene_nephrology; mgz_nephrologie; blueprintgenetics_nephrology,3,HGNC:3497
EVC2,centogene_nephrology; mgz_nephrologie; blueprintgenetics_nephrology,3,HGNC:19747
EXOC8,cegat_kidney_diseases_genes,1,HGNC:24659
EXT1,centogene_nephrology,1,HGNC:3512
EXT2,centogene_nephrology,1,HGNC:3513
EYA1,centogene_nephrology; cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_progressive_renal_disease_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,13,HGNC:3519
FAH,centogene_nephrology; cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,6,HGNC:3579
FAM111A,blueprintgenetics_nephrology,1,HGNC:24725
FAM149B1,cegat_kidney_diseases_genes,1,HGNC:29162
FAM20A,invitae_progressive_renal_disease_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,7,HGNC:23015
FAM20C,centogene_nephrology,1,HGNC:22140
FAN1,centogene_nephrology; cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_progressive_renal_disease_panel; invitae_expanded_renal_disease_panel; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,8,HGNC:29170
FANCA,invitae_expanded_renal_disease_panel; natera_renasight_comprehensive_kidney_gene_panel,2,HGNC:3582
FANCB,natera_renasight_comprehensive_kidney_gene_panel; blueprintgenetics_nephrology,2,HGNC:3583
FANCC,natera_renasight_comprehensive_kidney_gene_panel,1,HGNC:3584
FANCD2,natera_renasight_comprehensive_kidney_gene_panel,1,HGNC:3585
FANCE,natera_renasight_comprehensive_kidney_gene_panel,1,HGNC:3586
FANCF,natera_renasight_comprehensive_kidney_gene_panel,1,HGNC:3587
FANCG,natera_renasight_comprehensive_kidney_gene_panel,1,HGNC:3588
FANCI,natera_renasight_comprehensive_kidney_gene_panel,1,HGNC:25568
FANCL,natera_renasight_comprehensive_kidney_gene_panel,1,HGNC:20748
FAS,centogene_nephrology,1,HGNC:11920
FASLG,centogene_nephrology,1,HGNC:11936
FASTKD2,natera_renasight_comprehensive_kidney_gene_panel,1,HGNC:29160
FAT1,cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_progressive_renal_disease_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,8,HGNC:3595
FAT4,centogene_nephrology; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_expanded_renal_disease_panel; natera_renasight_comprehensive_kidney_gene_panel,4,HGNC:23109
FBN3,invitae_expanded_renal_disease_panel,1,HGNC:18794
FBXW7,cegat_kidney_diseases_genes,1,HGNC:16712
FEZF1,centogene_nephrology,1,HGNC:22788
FGA,preventiongenetics_comprehensive_inherited_kidney_diseases_panel; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics,3,HGNC:3661
FGF10,invitae_expanded_renal_disease_panel; natera_renasight_comprehensive_kidney_gene_panel,2,HGNC:3666
FGF17,centogene_nephrology,1,HGNC:3673
FGF20,cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; mayocliniclabs_renal_genetics,8,HGNC:3677
FGF23,centogene_nephrology; cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_expanded_renal_disease_panel; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,7,HGNC:3680
FGF8,centogene_nephrology,1,HGNC:3686
FGFR1,centogene_nephrology; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_expanded_renal_disease_panel; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics,5,HGNC:3688
FGFR2,centogene_nephrology; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_expanded_renal_disease_panel; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics,5,HGNC:3689
FIBP,cegat_kidney_diseases_genes,1,HGNC:3705
FKBP10,centogene_nephrology,1,HGNC:18169
FLCN,natera_renasight_comprehensive_kidney_gene_panel,1,HGNC:27310
FLNB,centogene_nephrology,1,HGNC:3755
FLRT3,centogene_nephrology,1,HGNC:3762
FN1,centogene_nephrology; cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_progressive_renal_disease_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,10,HGNC:3778
FOXA2,mgz_nephrologie,1,HGNC:5022
FOXC1,cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; natera_renasight_comprehensive_kidney_gene_panel,5,HGNC:3800
FOXC2,invitae_expanded_renal_disease_panel; mgz_nephrologie; natera_renasight_comprehensive_kidney_gene_panel; blueprintgenetics_nephrology,4,HGNC:3801
FOXI1,cegat_kidney_diseases_genes; invitae_progressive_renal_disease_panel; invitae_expanded_renal_disease_panel; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,6,HGNC:3815
FOXP1,centogene_nephrology; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; mayocliniclabs_renal_genetics,3,HGNC:3823
FOXP3,invitae_progressive_renal_disease_panel; invitae_expanded_renal_disease_panel; natera_renasight_comprehensive_kidney_gene_panel,3,HGNC:6106
FRAS1,centogene_nephrology; cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics,12,HGNC:19185
FREM1,centogene_nephrology; cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_progressive_renal_disease_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,13,HGNC:23399
FREM2,centogene_nephrology; cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,13,HGNC:25396
FSHB,centogene_nephrology,1,HGNC:3964
FXYD2,centogene_nephrology; cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_expanded_renal_disease_panel; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,7,HGNC:4026
G6PC1,invitae_expanded_renal_disease_panel; natera_renasight_comprehensive_kidney_gene_panel,2,HGNC:4056
GALNT3,invitae_expanded_renal_disease_panel; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics,3,HGNC:4125
GANAB,centogene_nephrology; cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_progressive_renal_disease_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,11,HGNC:4138
GAPVD1,cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel,2,HGNC:23375
GAS2L2,blueprintgenetics_nephrology,1,HGNC:24846
GAS8,mgz_nephrologie; blueprintgenetics_nephrology,2,HGNC:4166
GATA2,cegat_kidney_diseases_genes,1,HGNC:4171
GATA3,centogene_nephrology; cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_progressive_renal_disease_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,13,HGNC:4172
GATM,preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_progressive_renal_disease_panel; invitae_expanded_renal_disease_panel; natera_renasight_comprehensive_kidney_gene_panel,4,HGNC:4175
GCK,mgz_nephrologie; natera_renasight_comprehensive_kidney_gene_panel,5,HGNC:4195
GCM2,invitae_expanded_renal_disease_panel; natera_renasight_comprehensive_kidney_gene_panel,2,HGNC:4198
GDF1,centogene_nephrology,1,HGNC:4214
GDF5,centogene_nephrology,1,HGNC:4220
GDNF,cegat_kidney_diseases_genes; mgz_nephrologie,2,HGNC:4232
GFM1,centogene_nephrology,1,HGNC:13780
GHR,centogene_nephrology,1,HGNC:4263
GLA,centogene_nephrology; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_progressive_renal_disease_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics,8,HGNC:4296
GLI2,centogene_nephrology; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; blueprintgenetics_nephrology,3,HGNC:4318
GLI3,centogene_nephrology; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,9,HGNC:4319
GLIS2,centogene_nephrology; cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_progressive_renal_disease_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,10,HGNC:29450
GLIS3,centogene_nephrology; invitae_expanded_renal_disease_panel; natera_renasight_comprehensive_kidney_gene_panel,3,HGNC:28510
GLUD1,mgz_nephrologie,1,HGNC:4335
GNA11,centogene_nephrology; cegat_kidney_diseases_genes; invitae_expanded_renal_disease_panel; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,6,HGNC:4379
GNAS,centogene_nephrology; invitae_expanded_renal_disease_panel; natera_renasight_comprehensive_kidney_gene_panel; blueprintgenetics_nephrology,4,HGNC:4392
GNPAT,centogene_nephrology,1,HGNC:4416
GNRH1,centogene_nephrology,1,HGNC:4419
GNRHR,centogene_nephrology,1,HGNC:4421
GON7,preventiongenetics_comprehensive_inherited_kidney_diseases_panel; mgz_nephrologie,3,HGNC:20356
GPC3,centogene_nephrology; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics,8,HGNC:4451
GPC6,centogene_nephrology,1,HGNC:4454
GPHN,invitae_expanded_renal_disease_panel; blueprintgenetics_nephrology,2,HGNC:15465
GREB1L,centogene_nephrology; cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,8,HGNC:31042
GREM1,cegat_kidney_diseases_genes; mgz_nephrologie,3,HGNC:2001
GRHPR,cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_progressive_renal_disease_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics; blueprintgenetics_nephrology,10,HGNC:4570
GRIP1,centogene_nephrology; cegat_kidney_diseases_genes; preventiongenetics_comprehensive_inherited_kidney_diseases_panel; invitae_expanded_renal_disease_panel; mgz_nephrologie; natera_renasight_comprehensive_kidney_gene_panel; mayocliniclabs_renal_genetics,10,HGNC:18708
